SMILES
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
CC(C)O
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
CCCN(CCC)CCc1cccc2c1CC(=O)N2
CC1=CC(=O)c2ccccc2C1=O
C#CC(O)(/C=C/Cl)CC
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O.[Cl-]
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
Cc1cccc(N2CC(CO)OC2=O)c1
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
CC(=O)N[C@@H](CS)C(=O)O
NCC(=O)CCC(=O)O
NCCS
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
COc1nc(C)nc(Cl)c1NC1=NCCN1
CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O
CCOC(=O)C1(c2ccccc2)CCN(C)CC1
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
NCCNCCNCCN
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
C[C@H](N)Cc1ccccc1
NC(=O)c1cnccn1
CC(C)C(=O)c1c(C(C)C)nn2ccccc12
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O
